,symbol,name
71,SH601155,新城控股
72,SH601168,西部矿业
73,SH601390,中国中铁
74,SH600640,号百控股
75,SH600645,中源协和
76,SH600019,宝钢股份
77,SH600848,上海临港
78,SH603707,健友股份
79,SH600705,中航资本
80,SH603127,昭衍新药
81,SH600549,厦门钨业
82,SH600873,梅花生物
83,SH600552,凯盛科技
84,SH600655,豫园股份
85,SH600197,伊力特
86,SH601658,邮储银行
87,SH603228,景旺电子
88,SH600855,航天长峰
89,SH600597,光明乳业
0,SH601118,海南橡胶
1,SH600055,万东医疗
2,SH603195,公牛集团
3,SH600977,中国电影
4,SH603658,安图生物
5,SH600155,华创阳安
6,SH600580,卧龙电驱
7,SH603012,创力集团
8,SH600273,嘉化能源
9,SH603659,璞泰来
10,SH600572,康恩贝
11,SH603026,石大胜华
12,SH601238,广汽集团
13,SH600643,爱建集团
14,SH600201,生物股份
15,SH600195,中牧股份
16,SH601600,中国铝业
17,SH600239,云南城投
18,SH603138,海量数据
19,SH600271,航天信息
20,SH601020,华钰矿业
21,SH603598,引力传媒
22,SH603369,今世缘
23,SH601128,XD常熟银
24,SH600094,大名城
25,SH600723,首商股份
26,SH603686,龙马环卫
27,SH600662,强生控股
28,SH600282,南钢股份
29,SH600503,华丽家族
30,SH600313,农发种业
31,SH600018,上港集团
32,SH603393,新天然气
33,SH603719,良品铺子
34,SH603439,贵州三力
35,SH600885,宏发股份
36,SH600079,人福医药
37,SH601865,福莱特
38,SH603533,掌阅科技
39,SH600056,中国医药
40,SH600188,兖州煤业
41,SH600540,新赛股份
42,SH601727,上海电气
43,SH600802,福建水泥
44,SH600138,中青旅
45,SH603590,康辰药业
46,SH600426,华鲁恒升
47,SH600085,同仁堂
48,SH600763,通策医疗
49,SH603520,司太立
50,SH603200,上海洗霸
51,SH600160,巨化股份
52,SH600017,日照港
53,SH600919,江苏银行
54,SH603888,新华网
55,SH603733,仙鹤股份
56,SH600259,广晟有色
57,SH600435,北方导航
58,SH600422,昆药集团
59,SH600566,济川药业
60,SH600729,重庆百货
61,SH601009,南京银行
62,SH603198,迎驾贡酒
63,SH600872,中炬高新
64,SH600246,万通地产
65,SH601966,玲珑轮胎
66,SH600776,东方通信
67,SH603815,交建股份
68,SH600029,南方航空
69,SH603083,剑桥科技
70,SH600497,驰宏锌锗
71,SH601877,正泰电器
72,SH601789,宁波建工
73,SH603336,宏辉果蔬
74,SH600004,白云机场
75,SH600120,浙江东方
76,SH603305,旭升股份
77,SH603387,基蛋生物
78,SH603030,全筑股份
79,SH603258,电魂网络
80,SH600633,浙数文化
81,SH600051,宁波联合
82,SH600833,第一医药
83,SH603068,博通集成
